epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
32,921.886,0.29165,0.36311,0.18746,0.92452,0.99932,1,0.995,0.98917,0.99932,1,0.995,0.99339,0.19377,0.22712,0.13536,0.76097,0.00074425,0.00074425,0.00074425
33,950.286,0.29064,0.36143,0.18693,0.92104,0.99955,1,0.995,0.99182,0.99955,1,0.995,0.99359,0.19522,0.22528,0.14391,0.76994,0.000736,0.000736,0.000736
34,978.872,0.29124,0.36264,0.1844,0.92322,0.99106,1,0.99492,0.98948,0.99106,1,0.99492,0.99306,0.22778,0.26511,0.22843,0.79483,0.00072775,0.00072775,0.00072775
35,1007.75,0.28927,0.35804,0.18987,0.92317,0.99914,1,0.995,0.9907,0.99914,1,0.995,0.99311,0.17541,0.21257,0.15709,0.75893,0.0007195,0.0007195,0.0007195
36,1036.52,0.2833,0.35421,0.18756,0.92052,0.99955,1,0.995,0.98667,0.99955,1,0.995,0.9935,0.20438,0.2431,0.16671,0.80128,0.00071125,0.00071125,0.00071125
37,1065.16,0.28611,0.36826,0.18306,0.91907,0.99955,1,0.995,0.99116,0.99955,1,0.995,0.99431,0.17792,0.21693,0.1353,0.75705,0.000703,0.000703,0.000703
38,1094.41,0.28636,0.36346,0.1846,0.92073,0.99954,1,0.995,0.99108,0.99954,1,0.995,0.99374,0.1808,0.20996,0.12645,0.76409,0.00069475,0.00069475,0.00069475
39,1123.35,0.29301,0.35212,0.19127,0.92787,0.99956,1,0.995,0.99325,0.99956,1,0.995,0.99301,0.18322,0.23351,0.14331,0.76037,0.0006865,0.0006865,0.0006865
40,1151.95,0.28511,0.35126,0.18688,0.92232,0.99953,1,0.995,0.99194,0.99953,1,0.995,0.99365,0.1679,0.21145,0.15334,0.75376,0.00067825,0.00067825,0.00067825
41,1180.78,0.27954,0.35253,0.18155,0.91822,0.99956,1,0.995,0.99025,0.99956,1,0.995,0.99399,0.1871,0.22468,0.15459,0.7643,0.00067,0.00067,0.00067
42,1209.34,0.27912,0.35492,0.18196,0.92154,0.99956,1,0.995,0.99302,0.99956,1,0.995,0.99337,0.1699,0.21749,0.13402,0.76188,0.00066175,0.00066175,0.00066175
43,1238.13,0.28915,0.37217,0.18583,0.9238,0.99939,1,0.995,0.97873,0.99939,1,0.995,0.9441,0.27193,0.53697,0.16476,0.80073,0.0006535,0.0006535,0.0006535
44,1267.51,0.27437,0.35609,0.17509,0.91844,0.99955,1,0.995,0.98843,0.99955,1,0.995,0.97191,0.22792,0.44581,0.1501,0.79508,0.00064525,0.00064525,0.00064525
45,1296.09,0.28125,0.36414,0.18065,0.91905,0.99954,1,0.995,0.98989,0.99954,1,0.995,0.99085,0.18277,0.29613,0.14829,0.75849,0.000637,0.000637,0.000637
46,1324.67,0.2773,0.34884,0.18083,0.92006,0.99955,1,0.995,0.98905,0.99955,1,0.995,0.99382,0.17457,0.21544,0.12963,0.76124,0.00062875,0.00062875,0.00062875
47,1353.5,0.28439,0.35565,0.18509,0.92261,0.99954,1,0.995,0.99204,0.99954,1,0.995,0.99359,0.16009,0.21402,0.12827,0.74689,0.0006205,0.0006205,0.0006205
